sid	school_name	display_name	nickname	alias	almanac_name	stubhub_name	cid	division_cid	location	head_coach	off_coord	def_coord	primary_color	alt_color	sec_color	rss_query	domain	domain_title	ncaawiki_url	official_url	active_state	show_poster	school_id	ncaa_catid	checked_out	checked_out_time	published
95	Tennessee	Tennessee	Volunteers	tennessee	Tennessee	Tennessee	6	17	Knoxville, TN				F77F00	FFFFFF	'						0	0	0	70	0	0000-00-00 00:00:00	1
96	Texas	Texas	Longhorns	texas	Texas	Texas	4	16	Austin, TX				CC5500	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
97	Texas A&M	Texas A&M	Aggies	texasam	Texas A&M	Texas A&M	4	16	College Station, TX				800000	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
98	Texas Christian	TCU	Horned Frogs	texaschristian	Texas Christian	Texas Christian	9	0	Fort Worth, TX				551A8B	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
99	Texas Tech	Texas Tech	Red Raiders	texastech	Texas Tech	Texas Tech	4	16	Lubbock, TX				CC0000	000000							0	0	0	70	0	0000-00-00 00:00:00	1
100	Toledo	Toledo	Rockets	toledo	Toledo	Toledo	8	22	Toledo, OH				00009C	FFE600							0	0	0	70	0	0000-00-00 00:00:00	1
101	Troy	Troy	Trojans	troy	Troy	Troy	10	0	Troy, AL				C41E3A	C0C0C0	000000						0	0	0	70	0	0000-00-00 00:00:00	1
102	Tulane	Tulane	Green Wave	tulane	Tulane	Tulane	7	20	New Orleans, LA				006633	CCE4D9	E5F2FF						0	0	0	70	0	0000-00-00 00:00:00	1
103	Tulsa	Tulsa	Golden Hurricane	tulsa	Tulsa	Tulsa	7	20	Tulsa, OK				002366	CFB53B	DC143C						0	0	0	70	0	0000-00-00 00:00:00	1
104	UAB	UAB	Blazers	uab	UAB	UAB	7	19	Birmingham, AL				007453	D6C370							0	0	0	70	0	0000-00-00 00:00:00	1
105	UCLA	UCLA	Bruins	ucla	UCLA	UCLA	5	0	Pasadena, CA				4682B4	EEC900							0	0	0	70	0	0000-00-00 00:00:00	1
106	UNLV	UNLV	Rebels	unlv	UNLV	UNLV	9	0	Las Vegas, NV				C10202	D3D3D3	000000						0	0	0	70	0	0000-00-00 00:00:00	1
107	Utah	Utah	Utes	utah	Utah	Utah	9	0	Salt Lake City, UT				CC0000	FFFFFF	000000						0	0	0	70	0	0000-00-00 00:00:00	1
108	Utah State	Utah State	Aggies	utahstate	Utah State	Utah State	11	0	Logan, UT				020667	FFFFFF							0	0	0	70	0	0000-00-00 00:00:00	1
